rule_code,introduced_version,pr_number
W291,0.5.0,
W292,0.5.0,
W293,0.5.0,
W391,0.5.0,
W505,0.5.0,
W605,0.5.0,
YTT101,0.5.0,
YTT102,0.5.0,
YTT103,0.5.0,
YTT201,0.5.0,
YTT202,0.5.0,
YTT203,0.5.0,
YTT204,0.5.0,
YTT301,0.5.0,
YTT302,0.5.0,
YTT303,0.5.0,
